,iteracao,auc,hospital
0,0,0.6390305757522583,Amazonas_HUGV
1,1,0.6760203838348389,Amazonas_HUGV
2,2,0.6862244606018066,Amazonas_HUGV
3,3,0.6875,Amazonas_HUGV
4,4,0.7104591727256775,Amazonas_HUGV
0,0,0.5765235424041748,Ceara_HUWC
1,1,0.6738227009773254,Ceara_HUWC
2,2,0.7056787014007568,Ceara_HUWC
3,3,0.7188365459442139,Ceara_HUWC
4,4,0.7319945096969604,Ceara_HUWC
0,0,0.8313787579536438,Ceara_Unimed
1,1,0.8914968967437744,Ceara_Unimed
2,2,0.8997584581375122,Ceara_Unimed
3,3,0.9074832201004028,Ceara_Unimed
4,4,0.9161182641983032,Ceara_Unimed
0,0,0.70462965965271,GHC_02
1,1,0.7761111259460449,GHC_02
2,2,0.7997838854789734,GHC_02
3,3,0.8160030841827393,GHC_02
4,4,0.8319290280342102,GHC_02
0,0,0.6614701151847839,HC_USP
1,1,0.708499014377594,HC_USP
2,2,0.7349132895469666,HC_USP
3,3,0.7575741410255432,HC_USP
4,4,0.7776592373847961,HC_USP
0,0,0.6963667869567871,HEVV
1,1,0.734429121017456,HEVV
2,2,0.741349458694458,HEVV
3,3,0.7448096871376038,HEVV
4,4,0.7595155835151672,HEVV
0,0,0.7477899789810181,HMV_POA_02
1,1,0.8694177865982056,HMV_POA_02
2,2,0.906531035900116,HMV_POA_02
3,3,0.9259831309318542,HMV_POA_02
4,4,0.9429774284362792,HMV_POA_02
0,0,0.7607514262199402,HospGrupoSanta
1,1,0.8416845798492432,HospGrupoSanta
2,2,0.8686057329177856,HospGrupoSanta
3,3,0.8777727484703064,HospGrupoSanta
4,4,0.8855817317962646,HospGrupoSanta
0,0,0.6232461929321289,Hospital_Ultimo
1,1,0.7243303060531616,Hospital_Ultimo
2,2,0.75,Hospital_Ultimo
3,3,0.777742326259613,Hospital_Ultimo
4,4,0.7940050959587097,Hospital_Ultimo
0,0,0.8831958770751953,HospPortugues_Salvador
1,1,0.9340456128120422,HospPortugues_Salvador
2,2,0.945801854133606,HospPortugues_Salvador
3,3,0.9545067548751832,HospPortugues_Salvador
4,4,0.9622037410736084,HospPortugues_Salvador
0,0,0.6165451407432556,HospSantaCasaSP_FULL
1,1,0.6663731336593628,HospSantaCasaSP_FULL
2,2,0.6843575239181519,HospSantaCasaSP_FULL
3,3,0.7012331485748291,HospSantaCasaSP_FULL
4,4,0.7173329591751099,HospSantaCasaSP_FULL
0,0,0.9229289293289183,HospSantaCatarinaBlumenau
1,1,0.9481666088104248,HospSantaCatarinaBlumenau
2,2,0.9635581970214844,HospSantaCatarinaBlumenau
3,3,0.9710276126861572,HospSantaCatarinaBlumenau
4,4,0.9777613878250122,HospSantaCatarinaBlumenau
0,0,0.7697999477386475,HospSantaJulia_Manaus
1,1,0.8669999837875366,HospSantaJulia_Manaus
2,2,0.8975000381469727,HospSantaJulia_Manaus
3,3,0.909500002861023,HospSantaJulia_Manaus
4,4,0.9230000376701356,HospSantaJulia_Manaus
0,0,0.8064019680023193,HospSaoFrancisco_MogiGuacu
1,1,0.8781163096427917,HospSaoFrancisco_MogiGuacu
2,2,0.8802708387374878,HospSaoFrancisco_MogiGuacu
3,3,0.8856570720672607,HospSaoFrancisco_MogiGuacu
4,4,0.8927361965179443,HospSaoFrancisco_MogiGuacu
0,0,0.4599063396453857,HRL_2021_02
1,1,0.4588987529277801,HRL_2021_02
2,2,0.4696094095706939,HRL_2021_02
3,3,0.4834010899066925,HRL_2021_02
4,4,0.4970995783805847,HRL_2021_02
0,0,0.4238165616989136,HUTRIN_2021_02
1,1,0.4319526851177215,HUTRIN_2021_02
2,2,0.435650885105133,HUTRIN_2021_02
3,3,0.4571006000041961,HUTRIN_2021_02
4,4,0.4955620765686035,HUTRIN_2021_02
0,0,0.6780045032501221,Pelotas
1,1,0.6660997867584229,Pelotas
2,2,0.6712018251419067,Pelotas
3,3,0.6717687249183655,Pelotas
4,4,0.6797051429748535,Pelotas
0,0,0.6324316263198853,Pernambuco_FULL
1,1,0.7167062759399414,Pernambuco_FULL
2,2,0.751189112663269,Pernambuco_FULL
3,3,0.7682818174362183,Pernambuco_FULL
4,4,0.7826991677284241,Pernambuco_FULL
0,0,0.6423550844192505,Rio_de_Janeiro_HUCFF
1,1,0.651113748550415,Rio_de_Janeiro_HUCFF
2,2,0.6717128753662109,Rio_de_Janeiro_HUCFF
3,3,0.6936094164848328,Rio_de_Janeiro_HUCFF
4,4,0.7196691036224365,Rio_de_Janeiro_HUCFF
0,0,0.7139911651611328,Rio_de_Janeiro_Unimed
1,1,0.7525726556777954,Rio_de_Janeiro_Unimed
2,2,0.7757000923156738,Rio_de_Janeiro_Unimed
3,3,0.7904371023178101,Rio_de_Janeiro_Unimed
4,4,0.8089210987091064,Rio_de_Janeiro_Unimed
0,0,0.7866055965423584,SantaCasa_Belem
1,1,0.8760892152786255,SantaCasa_Belem
2,2,0.8911365270614624,SantaCasa_Belem
3,3,0.9016621708869934,SantaCasa_Belem
4,4,0.9133642911911012,SantaCasa_Belem
